pedido_id,restaurante_id,nome_estabelecimento,categoria,item_principal,qtd_itens,preco_item,desconto,preco_pedido,distancia_km,taxa_entrega,tempo_entrega_min,nota_cliente
P0021,R002,Armazém da Neblina Elétrico,Pizza,fatia marguerita,2,41.92,3,82.34,2.24,7.71,42,3.7
P0022,R002,Armazém da Neblina Elétrico,Pizza,fatia marguerita,1,45.39,2,44.89,4.49,7.03,29,3.9
P0023,R002,Armazém da Neblina Elétrico,Pizza,pizza brotinho,2,37.77,2,73.54,3.21,4.05,40,4.5
P0024,R003,Armazém da Neblina Profundo,Açaí,açaí 500ml,1,16.34,3,15.34,0.26,5.99,36,4.4
P0025,R003,Armazém da Neblina Profundo,Açaí,salada de frutas,2,14.97,5,24.94,0.47,4.93,24,4.0
P0026,R003,Armazém da Neblina Profundo,Açaí,açaí 300ml,2,11.77,3,20.54,3.11,5.88,39,1.9
P0027,R003,Armazém da Neblina Profundo,Açaí,vitamina,1,12.54,0,12.54,1.2,6.82,32,4.0
P0028,R003,Armazém da Neblina Profundo,Açaí,açaí 500ml,2,9.67,0,19.34,1.9,4.33,37,3.7
P0029,R003,Armazém da Neblina Profundo,Açaí,salada de frutas,1,11.08,3,8.08,1.87,6.17,48,3.2
P0030,R003,Armazém da Neblina Profundo,Açaí,açaí 300ml,4,13.45,0,53.8,0.2,3.47,31,3.9
P0031,R003,Armazém da Neblina Profundo,Açaí,salada de frutas,2,12.95,3,22.9,2.7,6.05,16,4.6
P0032,R003,Armazém da Neblina Profundo,Açaí,açaí 500ml,3,13.4,2,41.2,0.56,1.28,18,4.4
P0033,R003,Armazém da Neblina Profundo,Açaí,salada de frutas,2,9.99,0,19.98,2.37,4.78,26,4.1
P0034,R004,Armazém da Pimenta Afiado,Café,pão de queijo,1,25.87,0,27.87,5.52,10.81,46,3.1
P0035,R004,Armazém da Pimenta Afiado,Café,cappuccino,2,20.91,0,43.82,7.82,12.61,65,3.5
P0036,R004,Armazém da Pimenta Afiado,Café,croissant,5,24.38,0,124.9,7.27,9.92,49,3.5
P0037,R004,Armazém da Pimenta Afiado,Café,pão de queijo,3,26.13,0,80.39,9.41,13.3,67,3.5
P0038,R004,Armazém da Pimenta Afiado,Café,cappuccino,2,27.3,2,52.6,7.01,12.29,48,4.0
P0039,R004,Armazém da Pimenta Afiado,Café,pão de queijo,4,19.34,5,72.36,7.17,11.46,57,3.5
P0040,R004,Armazém da Pimenta Afiado,Café,croissant,2,18.84,0,37.68,9.84,12.45,60,4.0
P0041,R004,Armazém da Pimenta Afiado,Café,pão de queijo,1,24.94,2,25.94,9.06,13.38,64,3.8
P0042,R004,Armazém da Pimenta Afiado,Café,cappuccino,4,23.0,0,92.0,7.54,8.22,51,3.7
P0043,R004,Armazém da Pimenta Afiado,Café,pão de queijo,1,19.92,5,18.92,6.45,11.84,164,4.4
P0044,R004,Armazém da Pimenta Afiado,Café,pão de queijo,4,21.77,0,90.08,5.22,9.08,46,3.6
P0045,R004,Armazém da Pimenta Afiado,Café,pão de queijo,1,27.46,2,25.46,6.36,12.05,42,4.6
P0046,R005,Armazém do Abacaxi Honesto,Marmita,marmita fitness,3,38.93,0,118.79,5.51,9.39,48,3.4
P0047,R005,Armazém do Abacaxi Honesto,Marmita,prato executivo,4,39.26,0,157.04,4.5,13.75,30,3.4
P0048,R005,Armazém do Abacaxi Honesto,Marmita,marmita P,2,34.8,0,69.6,6.04,11.01,54,3.7
P0049,R005,Armazém do Abacaxi Honesto,Marmita,marmita fitness,1,32.76,3,29.76,3.4,10.23,45,3.6
P0050,R005,Armazém do Abacaxi Honesto,Marmita,marmita P,3,36.61,3,110.83,6.2,12.31,49,2.9
P0051,R005,Armazém do Abacaxi Honesto,Marmita,marmita M,1,39.83,0,41.83,6.18,11.91,53,3.3
P0052,R005,Armazém do Abacaxi Honesto,Marmita,marmita P,5,39.06,5,190.3,5.03,10.44,63,3.4
P0053,R005,Armazém do Abacaxi Honesto,Marmita,marmita fitness,3,28.74,2,85.72,6.44,11.81,28,4.3
P0054,R005,Armazém do Abacaxi Honesto,Marmita,marmita fitness,2,32.44,2,62.88,4.27,12.14,48,3.6
P0055,R005,Armazém do Abacaxi Honesto,Marmita,marmita M,2,26.4,0,56.8,5.23,12.6,40,4.1
P0056,R005,Armazém do Abacaxi Honesto,Marmita,marmita M,2,33.42,0,68.34,4.54,12.76,55,3.2
P0057,R005,Armazém do Abacaxi Honesto,Marmita,marmita fitness,1,24.22,5,22.22,5.71,12.43,33,4.0
P0058,R006,Armazém do Cometa Sagrado,Hambúrguer,x-bacon,4,34.2,0,140.8,0.2,5.89,217,3.6
P0059,R006,Armazém do Cometa Sagrado,Hambúrguer,batata frita,4,48.87,3,195.48,0.81,5.7,19,4.5
P0060,R006,Armazém do Cometa Sagrado,Hambúrguer,x-burger,4,36.19,0,144.76,0.46,6.21,27,4.5
P0061,R006,Armazém do Cometa Sagrado,Hambúrguer,x-salada,1,46.69,0,48.19,0.2,6.43,8,5.0
P0062,R006,Armazém do Cometa Sagrado,Hambúrguer,x-burger,5,56.71,5,278.55,2.79,8.21,32,4.4
P0063,R006,Armazém do Cometa Sagrado,Hambúrguer,x-salada,2,40.22,0,82.44,0.91,6.31,25,4.2
P0064,R006,Armazém do Cometa Sagrado,Hambúrguer,batata frita,1,39.68,0,42.68,0.96,8.72,20,4.3
P0065,R006,Armazém do Cometa Sagrado,Hambúrguer,batata frita,4,46.08,3,184.32,1.2,7.71,30,4.8
P0066,R006,Armazém do Cometa Sagrado,Hambúrguer,smash duplo,4,52.39,2,207.56,2.07,7.67,39,4.3
P0067,R007,Armazém do Mercado Noturno,Salgados,risole,2,14.64,3,30.28,4.24,6.08,33,4.0
P0068,R007,Armazém do Mercado Noturno,Salgados,esfiha,4,15.22,2,208.76,4.97,7.46,31,4.1
P0069,R007,Armazém do Mercado Noturno,Salgados,enroladinho,2,14.83,0,32.66,5.04,9.33,43,3.7
P0070,R007,Armazém do Mercado Noturno,Salgados,coxinha,3,15.95,5,44.85,4.95,7.89,41,3.5
P0071,R007,Armazém do Mercado Noturno,Salgados,risole,3,9.63,5,23.89,6.27,6.16,44,3.7
P0072,R007,Armazém do Mercado Noturno,Salgados,risole,3,9.31,0,27.93,4.55,4.78,48,3.9
P0073,R007,Armazém do Mercado Noturno,Salgados,esfiha,2,11.13,2,22.26,2.84,3.81,37,3.5
P0074,R007,Armazém do Mercado Noturno,Salgados,kibe,3,10.75,5,27.25,4.09,6.58,22,3.8
P0075,R007,Armazém do Mercado Noturno,Salgados,coxinha,2,14.43,3,25.86,5.18,7.16,49,4.1
P0076,R007,Armazém do Mercado Noturno,Salgados,risole,2,13.1,5,22.7,4.51,5.78,38,3.7
P0077,R008,Armazém do Tacho Supremo,Café,pão de queijo,3,46.84,0,142.02,4.18,11.39,31,3.5
P0078,R008,Armazém do Tacho Supremo,Café,café coado,1,58.72,0,60.22,2.51,8.33,33,3.3
P0079,R008,Armazém do Tacho Supremo,Café,café coado,1,62.11,3,59.11,2.41,8.59,23,4.2
P0080,R008,Armazém do Tacho Supremo,Café,cappuccino,5,59.82,3,296.1,2.9,10.79,28,3.7
P0081,R008,Armazém do Tacho Supremo,Café,café coado,1,55.24,5,54.24,4.51,12.0,40,3.4
P0082,R008,Armazém do Tacho Supremo,Café,pão de queijo,2,53.63,0,107.26,2.21,9.81,29,3.3
P0083,R008,Armazém do Tacho Supremo,Café,cappuccino,1,55.14,0,58.14,1.82,10.43,41,3.7
P0084,R008,Armazém do Tacho Supremo,Café,pão de queijo,1,66.32,0,70.32,3.47,10.95,45,3.5
P0085,R008,Armazém do Tacho Supremo,Café,pão de queijo,2,62.64,0,129.28,2.71,11.28,31,4.0
P0086,R008,Armazém do Tacho Supremo,Café,cappuccino,3,53.89,5,156.67,1.71,9.11,25,3.8
P0087,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-bacon,5,10.19,3,49.95,6.99,16.12,68,3.1
P0088,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-burger,1,14.42,0,14.42,5.55,13.57,41,3.5
P0089,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-bacon,1,9.68,0,11.18,7.54,14.57,51,3.8
P0090,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-salada,2,10.41,2,20.32,4.99,15.05,42,4.1
P0091,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-salada,4,13.81,0,58.24,5.36,10.95,56,3.1
P0092,R009,Armazém do X-Tudo Selvagem,Hambúrguer,batata frita,1,13.01,5,154.61,6.3,12.43,49,3.7
P0093,R009,Armazém do X-Tudo Selvagem,Hambúrguer,batata frita,4,10.88,0,47.52,6.13,13.49,37,3.9
P0094,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-bacon,2,13.53,0,29.06,6.41,13.7,50,3.5
P0095,R009,Armazém do X-Tudo Selvagem,Hambúrguer,x-salada,1,8.5,0,11.5,9.56,13.99,64,2.6
P0096,R009,Armazém do X-Tudo Selvagem,Hambúrguer,smash duplo,2,14.11,5,23.22,8.12,15.52,69,2.9
P0097,R010,Bar da Esquina Sagrado,Hambúrguer,smash duplo,4,41.19,5,163.76,7.33,7.15,53,3.5
P0098,R010,Bar da Esquina Sagrado,Hambúrguer,x-burger,2,49.07,0,100.14,7.5,6.22,53,3.7
P0099,R010,Bar da Esquina Sagrado,Hambúrguer,smash duplo,2,28.98,2,55.96,8.86,8.49,70,2.2
P0100,R010,Bar da Esquina Sagrado,Hambúrguer,x-salada,2,43.01,5,82.52,9.11,6.94,68,2.9
P0101,R010,Bar da Esquina Sagrado,Hambúrguer,smash duplo,5,30.16,5,147.8,7.42,7.69,62,3.6
P0102,R010,Bar da Esquina Sagrado,Hambúrguer,smash duplo,5,43.38,0,216.9,8.92,8.47,58,3.5
P0103,R010,Bar da Esquina Sagrado,Hambúrguer,batata frita,5,43.52,0,217.6,8.5,6.54,74,2.8
P0104,R010,Bar da Esquina Sagrado,Hambúrguer,x-salada,1,42.81,5,37.81,8.71,7.53,58,3.3
P0105,R010,Bar da Esquina Sagrado,Hambúrguer,x-burger,1,42.65,5,40.65,7.53,8.4,62,3.2
P0106,R010,Bar da Esquina Sagrado,Hambúrguer,x-burger,2,34.71,0,73.42,9.11,6.44,73,3.9
P0107,R010,Bar da Esquina Sagrado,Hambúrguer,batata frita,2,40.36,0,80.72,4.87,8.4,43,3.6
P0108,R010,Bar da Esquina Sagrado,Hambúrguer,smash duplo,1,42.47,5,37.47,11.75,9.42,60,3.5
P0109,R011,Bar da Garoa Nervoso,Japonesa,yakisoba,2,32.45,5,63.9,5.2,7.96,56,3.3
P0110,R011,Bar da Garoa Nervoso,Japonesa,yakisoba,2,42.36,2,84.72,4.26,6.81,29,3.6
P0111,R011,Bar da Garoa Nervoso,Japonesa,temaki,2,28.51,3,57.02,4.69,9.37,46,3.5
P0112,R011,Bar da Garoa Nervoso,Japonesa,yakisoba,2,36.13,2,70.26,3.16,7.73,25,3.8
P0113,R011,Bar da Garoa Nervoso,Japonesa,hot roll,4,40.45,0,165.8,2.02,5.88,29,3.9
P0114,R011,Bar da Garoa Nervoso,Japonesa,combo 12 peças,4,35.53,0,144.12,4.41,9.13,52,3.5
P0115,R011,Bar da Garoa Nervoso,Japonesa,combo 12 peças,3,28.12,3,81.36,4.32,6.7,25,3.9
P0116,R011,Bar da Garoa Nervoso,Japonesa,hot roll,2,39.11,2,77.72,5.43,7.57,40,3.7
P0117,R011,Bar da Garoa Nervoso,Japonesa,hot roll,2,27.69,0,55.38,3.99,7.55,27,3.8
P0118,R011,Bar da Garoa Nervoso,Japonesa,yakisoba,2,29.21,0,62.42,3.37,4.31,35,4.5
P0119,R011,Bar da Garoa Nervoso,Japonesa,temaki,5,27.36,0,138.8,2.22,3.14,39,3.9
P0120,R012,Bar da Panela Cósmico,Açaí,vitamina,5,38.26,2,189.3,2.46,7.45,27,3.5
P0121,R012,Bar da Panela Cósmico,Açaí,salada de frutas,1,59.51,0,59.51,0.29,3.67,15,3.7
P0122,R012,Bar da Panela Cósmico,Açaí,salada de frutas,2,36.57,2,73.14,2.02,3.43,31,3.7
P0123,R012,Bar da Panela Cósmico,Açaí,salada de frutas,2,43.7,5,82.4,2.62,7.9,29,4.1
P0124,R012,Bar da Panela Cósmico,Açaí,açaí 300ml,1,50.3,3,48.8,2.42,4.37,32,2.9
P0125,R012,Bar da Panela Cósmico,Açaí,vitamina,1,47.2,0,48.7,0.2,3.88,13,4.1
P0126,R012,Bar da Panela Cósmico,Açaí,açaí 500ml,3,37.27,0,114.81,2.27,5.81,31,4.3
P0127,R012,Bar da Panela Cósmico,Açaí,açaí 500ml,1,36.45,0,37.95,0.83,3.35,9,3.4
P0128,R012,Bar da Panela Cósmico,Açaí,salada de frutas,1,48.84,2,46.84,1.97,5.16,31,3.9
P0129,R012,Bar da Panela Cósmico,Açaí,açaí 300ml,2,45.55,0,92.6,1.83,5.09,36,3.3
P0130,R013,Bar da Vila Alta Dourado,Pizza,pizza média,4,28.63,2,116.52,5.5,10.56,52,3.5
P0131,R013,Bar da Vila Alta Dourado,Pizza,pizza média,2,24.08,2,46.16,4.88,9.47,45,3.6
P0132,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,4,26.69,3,103.76,6.28,10.37,48,3.7
P0133,R013,Bar da Vila Alta Dourado,Pizza,pizza brotinho,2,24.46,3,45.92,6.58,8.92,55,3.0
P0134,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,3,19.52,3,55.56,5.93,11.37,48,3.5
P0135,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,5,20.74,3,100.7,5.73,8.64,49,3.3
P0136,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,1,24.5,0,28.5,5.26,8.43,48,3.2
P0137,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,4,27.49,2,109.96,8.44,9.44,63,2.5
P0138,R013,Bar da Vila Alta Dourado,Pizza,fatia de calabresa,2,19.87,5,36.74,5.91,8.31,51,4.0
P0139,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,3,20.05,0,62.15,7.43,9.66,44,3.8
P0140,R013,Bar da Vila Alta Dourado,Pizza,fatia marguerita,1,18.0,0,18.0,7.27,8.61,38,3.8
P0141,R013,Bar da Vila Alta Dourado,Pizza,pizza média,1,19.18,2,17.18,7.16,8.65,57,3.8
P0142,R013,Bar da Vila Alta Dourado,Pizza,fatia de calabresa,4,22.87,3,88.48,6.81,10.17,54,3.4
P0143,R014,Bar do Sumiço Nervoso,Marmita,marmita fitness,1,29.8,0,31.3,0.2,5.03,8,3.9
P0144,R014,Bar do Sumiço Nervoso,Marmita,prato executivo,4,24.95,0,101.8,2.2,5.96,41,3.6
P0145,R014,Bar do Sumiço Nervoso,Marmita,marmita P,1,18.86,3,17.36,1.99,3.23,20,3.2
P0146,R014,Bar do Sumiço Nervoso,Marmita,marmita fitness,2,30.52,5,56.04,3.03,5.41,36,3.6
P0147,R014,Bar do Sumiço Nervoso,Marmita,prato executivo,1,32.66,0,36.66,2.72,6.14,33,3.8
P0148,R014,Bar do Sumiço Nervoso,Marmita,marmita M,4,23.06,2,91.74,1.68,5.74,36,3.5
P0149,R014,Bar do Sumiço Nervoso,Marmita,prato executivo,2,27.38,0,54.76,1.91,6.16,37,2.7
P0150,R014,Bar do Sumiço Nervoso,Marmita,marmita fitness,2,20.74,5,37.98,3.26,7.14,33,3.6
P0151,R014,Bar do Sumiço Nervoso,Marmita,marmita P,5,28.19,0,143.95,3.38,4.59,25,3.9
P0152,R014,Bar do Sumiço Nervoso,Marmita,marmita P,5,29.31,2,147.55,2.8,5.88,26,4.0
P0153,R014,Bar do Sumiço Nervoso,Marmita,marmita fitness,2,29.02,3,55.04,2.21,6.38,31,3.8
P0154,R014,Bar do Sumiço Nervoso,Marmita,marmita P,1,23.36,0,26.36,4.03,7.9,32,3.7
P0155,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-salada,1,7.07,0,8.57,2.14,4.48,26,4.2
P0156,R015,Beco do Gato Preto Sagrado,Hambúrguer,batata frita,1,10.4,2,8.4,2.68,3.13,25,4.4
P0157,R015,Beco do Gato Preto Sagrado,Hambúrguer,batata frita,2,10.43,0,24.86,2.28,2.63,31,4.6
P0158,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-burger,1,10.58,2,11.58,1.93,4.59,26,4.4
P0159,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-bacon,2,7.36,5,13.72,1.89,1.28,32,1.9
P0160,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-salada,2,8.75,3,18.5,2.41,2.61,38,3.9
P0161,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-burger,2,10.38,0,22.76,5.37,7.62,58,4.0
P0162,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-salada,4,8.0,0,33.5,1.89,3.79,25,4.1
P0163,R015,Beco do Gato Preto Sagrado,Hambúrguer,x-burger,3,10.3,2,32.9,0.2,3.99,15,4.1
P0164,R016,Beco do X-Tudo Elétrico,Japonesa,combo 12 peças,2,40.64,0,82.78,10.36,12.08,60,3.8
P0165,R016,Beco do X-Tudo Elétrico,Japonesa,temaki,3,61.8,5,180.4,8.78,8.96,68,3.6
P0166,R016,Beco do X-Tudo Elétrico,Japonesa,yakisoba,2,59.13,3,115.26,7.86,10.83,51,2.6
P0167,R016,Beco do X-Tudo Elétrico,Japonesa,combo 12 peças,2,51.16,2,102.32,8.35,12.54,189,2.8
P0168,R016,Beco do X-Tudo Elétrico,Japonesa,temaki,1,56.48,0,57.98,9.39,12.36,63,3.0
P0169,R016,Beco do X-Tudo Elétrico,Japonesa,hot roll,1,45.45,5,41.95,7.3,8.84,52,3.9
P0170,R016,Beco do X-Tudo Elétrico,Japonesa,temaki,3,39.93,2,119.79,5.24,10.08,51,3.2
P0171,R016,Beco do X-Tudo Elétrico,Japonesa,combo 12 peças,1,58.1,3,56.6,8.25,9.65,67,2.7
P0172,R016,Beco do X-Tudo Elétrico,Japonesa,yakisoba,5,45.74,0,228.7,7.67,8.83,59,3.1
P0173,R016,Beco do X-Tudo Elétrico,Japonesa,yakisoba,5,43.51,0,217.55,7.6,12.04,58,3.0
P0174,R016,Beco do X-Tudo Elétrico,Japonesa,hot roll,2,67.72,0,137.44,9.71,8.29,68,3.5
P0175,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita fitness,2,16.49,0,32.98,4.99,6.5,32,4.4
P0176,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita M,1,23.6,3,20.6,5.31,8.11,41,4.1
P0177,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita M,2,24.89,0,49.78,5.57,6.07,41,3.6
P0178,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita P,3,19.77,5,56.31,5.76,6.29,47,4.1
P0179,R017,Bistrô do Abacaxi Selvagem,Marmita,prato executivo,3,20.2,0,60.6,6.06,6.41,41,3.4
P0180,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita fitness,3,18.12,0,58.36,5.35,6.68,32,4.0
P0181,R017,Bistrô do Abacaxi Selvagem,Marmita,prato executivo,1,15.02,2,14.52,5.36,8.05,54,3.3
P0182,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita P,1,23.99,0,23.99,9.04,6.39,65,3.2
P0183,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita P,2,23.99,5,42.98,5.97,6.72,38,4.2
P0184,R017,Bistrô do Abacaxi Selvagem,Marmita,prato executivo,2,20.84,0,44.68,6.66,7.81,55,3.7
P0185,R017,Bistrô do Abacaxi Selvagem,Marmita,prato executivo,2,24.96,5,46.92,5.03,7.3,41,4.3
P0186,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita M,1,14.11,0,14.11,8.74,8.72,53,4.0
P0187,R017,Bistrô do Abacaxi Selvagem,Marmita,marmita P,4,23.12,5,87.48,5.1,8.18,55,3.7
P0188,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,1,7.34,0,8.06,0.74,3.07,16,4.7
P0189,R018,Império da Coxinha Nebulosa,Salgados,kibe,1,5.95,1,6.12,0.95,2.05,22,4.8
P0190,R018,Império da Coxinha Nebulosa,Salgados,risole,1,8.5,2,9.8,0.86,1.88,22,4.8
P0191,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,1,6.52,2,6.58,0.97,1.27,15,4.7
P0192,R018,Império da Coxinha Nebulosa,Salgados,coxinha,1,6.2,1,7.91,0.5,3.09,15,4.8
P0193,R018,Império da Coxinha Nebulosa,Salgados,kibe,1,7.55,1,8.16,0.49,1.08,15,4.8
P0194,R018,Império da Coxinha Nebulosa,Salgados,risole,4,5.78,0,23.12,2.32,4.66,15,3.8
P0195,R018,Império da Coxinha Nebulosa,Salgados,risole,1,6.36,0,9.36,2.9,4.05,29,4.1
P0196,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,2,4.98,5,7.96,0.63,4.38,23,4.3
P0197,R018,Império da Coxinha Nebulosa,Salgados,kibe,1,8.72,2,8.76,1.17,2.82,15,4.9
P0198,R018,Império da Coxinha Nebulosa,Salgados,coxinha,1,8.99,0,9.22,0.93,2.35,13,4.7
P0199,R018,Império da Coxinha Nebulosa,Salgados,mini churros,1,7.38,2,7.98,0.84,1.74,15,4.8
P0200,R018,Império da Coxinha Nebulosa,Salgados,kibe,1,9.11,2,10.81,0.9,2.48,22,4.7
P0201,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,1,7.63,0,9.31,0.56,2.07,15,4.9
P0202,R018,Império da Coxinha Nebulosa,Salgados,coxinha,1,7.59,0,7.72,1.05,2.5,13,4.7
P0203,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,1,5.63,1,7.37,0.36,3.39,12,4.8
P0204,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,1,7.24,2,8.79,0.84,3.23,17,4.8
P0205,R018,Império da Coxinha Nebulosa,Salgados,risole,1,7.28,0,8.86,0.88,2.69,13,4.7
P0206,R018,Império da Coxinha Nebulosa,Salgados,risole,1,9.38,1,9.91,0.54,2.18,23,4.8
P0207,R018,Império da Coxinha Nebulosa,Salgados,enroladinho,1,5.78,1,6.29,0.63,2.18,12,4.7
P0208,R018,Império da Coxinha Nebulosa,Salgados,mini churros,1,9.39,0,10.05,0.73,1.49,19,4.8
P0209,R018,Império da Coxinha Nebulosa,Salgados,risole,1,7.57,1,7.58,0.31,1.55,12,4.7
P0210,R018,Império da Coxinha Nebulosa,Salgados,risole,1,7.35,0,8.23,0.5,1.99,12,4.8
P0211,R018,Império da Coxinha Nebulosa,Salgados,risole,1,6.64,2,8.28,0.78,3.2,18,4.7
P0212,R018,Império da Coxinha Nebulosa,Salgados,risole,1,5.68,0,6.58,1.14,1.41,16,4.8
P0213,R018,Império da Coxinha Nebulosa,Salgados,coxinha,1,8.36,0,9.58,0.58,3.06,23,4.9
P0214,R019,Boteco da Batata Honesto,Pizza,pizza brotinho,3,19.24,0,59.72,3.6,9.75,33,3.9
P0215,R019,Boteco da Batata Honesto,Pizza,fatia de calabresa,2,23.95,2,45.9,2.7,8.4,16,4.3
P0216,R019,Boteco da Batata Honesto,Pizza,fatia marguerita,3,24.59,0,75.77,2.55,8.56,31,5.0
P0217,R019,Boteco da Batata Honesto,Pizza,fatia marguerita,1,20.2,2,22.2,2.09,6.7,30,4.9
P0218,R019,Boteco da Batata Honesto,Pizza,pizza média,4,33.15,0,132.6,1.91,10.19,20,4.5
P0219,R019,Boteco da Batata Honesto,Pizza,fatia marguerita,2,31.95,0,66.9,1.27,5.84,33,4.1
P0220,R019,Boteco da Batata Honesto,Pizza,pizza brotinho,2,19.64,3,36.28,1.84,9.14,22,4.0
P0221,R019,Boteco da Batata Honesto,Pizza,pizza média,2,27.05,0,54.1,0.2,8.55,33,4.5
P0222,R020,Boteco do Caldinho Noturno,Café,croissant,3,45.9,3,136.2,4.82,5.17,45,2.6
P0223,R020,Boteco do Caldinho Noturno,Café,cappuccino,2,35.51,0,75.02,3.16,3.3,43,3.9
P0224,R020,Boteco do Caldinho Noturno,Café,croissant,2,41.47,5,79.44,7.81,5.81,56,2.7
P0225,R020,Boteco do Caldinho Noturno,Café,croissant,1,49.6,3,46.6,4.78,4.87,42,3.3
P0226,R020,Boteco do Caldinho Noturno,Café,café coado,1,35.98,3,32.98,3.01,3.78,33,3.6
P0227,R020,Boteco do Caldinho Noturno,Café,cappuccino,4,52.35,0,210.9,5.21,5.73,30,3.2
P0228,R020,Boteco do Caldinho Noturno,Café,croissant,2,39.67,3,76.34,7.39,6.48,53,3.6
P0229,R020,Boteco do Caldinho Noturno,Café,croissant,2,42.64,0,85.28,5.13,4.59,26,4.0
P0230,R020,Boteco do Caldinho Noturno,Café,cappuccino,2,39.25,3,75.5,5.08,7.94,46,3.6
P0231,R020,Boteco do Caldinho Noturno,Café,café coado,2,52.85,3,104.7,5.46,5.21,50,3.4
P0232,R021,Cantina da Pimenta Dourado,Açaí,salada de frutas,1,43.7,0,43.7,5.0,4.16,37,3.7
P0233,R021,Cantina da Pimenta Dourado,Açaí,salada de frutas,3,40.71,2,120.13,4.59,6.53,41,4.2
